frequency,position,field,ave-field,density,ave-density
50,0,-9.70E+05,-9.70E-01,3.95E+15,3.95E-05
50,2.78E-06,-9.60E+05,-9.60E-01,5.36E+15,5.36E-05
50,5.56E-06,-9.49E+05,-9.49E-01,6.77E+15,6.77E-05
50,8.33E-06,-9.38E+05,-9.38E-01,8.19E+15,8.19E-05
50,1.11E-05,-9.28E+05,-9.28E-01,9.60E+15,9.60E-05
50,1.39E-05,-9.17E+05,-9.17E-01,1.10E+16,1.10E-04
50,1.67E-05,-9.07E+05,-9.07E-01,1.33E+16,1.33E-04
50,1.94E-05,-8.96E+05,-8.96E-01,1.57E+16,1.57E-04
50,2.22E-05,-8.85E+05,-8.85E-01,1.81E+16,1.81E-04
50,2.50E-05,-8.75E+05,-8.75E-01,2.04E+16,2.04E-04
50,2.78E-05,-8.64E+05,-8.64E-01,2.28E+16,2.28E-04
50,3.06E-05,-8.53E+05,-8.53E-01,2.54E+16,2.54E-04
50,3.33E-05,-8.42E+05,-8.42E-01,2.81E+16,2.81E-04
50,3.61E-05,-8.31E+05,-8.31E-01,3.07E+16,3.07E-04
50,3.89E-05,-8.21E+05,-8.21E-01,3.34E+16,3.34E-04
50,4.17E-05,-8.10E+05,-8.10E-01,3.60E+16,3.60E-04
50,4.44E-05,-7.99E+05,-7.99E-01,3.89E+16,3.89E-04
50,4.72E-05,-7.88E+05,-7.88E-01,4.18E+16,4.18E-04
50,5.00E-05,-7.77E+05,-7.77E-01,4.47E+16,4.47E-04
50,5.28E-05,-7.66E+05,-7.66E-01,4.76E+16,4.76E-04
50,5.56E-05,-7.55E+05,-7.55E-01,5.05E+16,5.05E-04
50,5.83E-05,-7.44E+05,-7.44E-01,5.36E+16,5.36E-04
50,6.11E-05,-7.33E+05,-7.33E-01,5.69E+16,5.69E-04
50,6.39E-05,-7.22E+05,-7.22E-01,6.01E+16,6.01E-04
50,6.67E-05,-7.11E+05,-7.11E-01,6.33E+16,6.33E-04
50,6.94E-05,-7.00E+05,-7.00E-01,6.65E+16,6.65E-04
50,7.22E-05,-6.88E+05,-6.88E-01,7.00E+16,7.00E-04
50,7.50E-05,-6.77E+05,-6.77E-01,7.35E+16,7.35E-04
50,7.78E-05,-6.66E+05,-6.66E-01,7.70E+16,7.70E-04
50,8.06E-05,-6.54E+05,-6.54E-01,8.05E+16,8.05E-04
50,8.33E-05,-6.43E+05,-6.43E-01,8.40E+16,8.40E-04
50,8.61E-05,-6.31E+05,-6.31E-01,8.78E+16,8.78E-04
50,8.89E-05,-6.19E+05,-6.19E-01,9.17E+16,9.17E-04
50,9.17E-05,-6.07E+05,-6.07E-01,9.57E+16,9.57E-04
50,9.44E-05,-5.96E+05,-5.96E-01,9.96E+16,9.96E-04
50,9.72E-05,-5.84E+05,-5.84E-01,1.04E+17,1.04E-03
50,1.00E-04,-5.72E+05,-5.72E-01,1.08E+17,1.08E-03
50,1.03E-04,-5.59E+05,-5.59E-01,1.12E+17,1.12E-03
50,1.06E-04,-5.47E+05,-5.47E-01,1.17E+17,1.17E-03
50,1.08E-04,-5.35E+05,-5.35E-01,1.21E+17,1.21E-03
50,1.11E-04,-5.23E+05,-5.23E-01,1.25E+17,1.25E-03
50,1.14E-04,-5.10E+05,-5.10E-01,1.30E+17,1.30E-03
50,1.17E-04,-4.98E+05,-4.98E-01,1.35E+17,1.35E-03
50,1.19E-04,-4.85E+05,-4.85E-01,1.40E+17,1.40E-03
50,1.22E-04,-4.72E+05,-4.72E-01,1.45E+17,1.45E-03
50,1.25E-04,-4.60E+05,-4.60E-01,1.50E+17,1.50E-03
50,1.28E-04,-4.47E+05,-4.47E-01,1.56E+17,1.56E-03
50,1.31E-04,-4.34E+05,-4.34E-01,1.62E+17,1.62E-03
50,1.33E-04,-4.22E+05,-4.22E-01,1.68E+17,1.68E-03
50,1.36E-04,-4.09E+05,-4.09E-01,1.74E+17,1.74E-03
50,1.39E-04,-3.96E+05,-3.96E-01,1.79E+17,1.79E-03
50,1.42E-04,-3.83E+05,-3.83E-01,1.86E+17,1.86E-03
50,1.44E-04,-3.71E+05,-3.71E-01,1.93E+17,1.93E-03
50,1.47E-04,-3.58E+05,-3.58E-01,2.00E+17,2.00E-03
50,1.50E-04,-3.45E+05,-3.45E-01,2.07E+17,2.07E-03
50,1.53E-04,-3.32E+05,-3.32E-01,2.14E+17,2.14E-03
50,1.56E-04,-3.20E+05,-3.20E-01,2.22E+17,2.22E-03
50,1.58E-04,-3.07E+05,-3.07E-01,2.30E+17,2.30E-03
50,1.61E-04,-2.95E+05,-2.95E-01,2.39E+17,2.39E-03
50,1.64E-04,-2.82E+05,-2.82E-01,2.47E+17,2.47E-03
50,1.67E-04,-2.70E+05,-2.70E-01,2.56E+17,2.56E-03
50,1.69E-04,-2.58E+05,-2.58E-01,2.65E+17,2.65E-03
50,1.72E-04,-2.46E+05,-2.46E-01,2.76E+17,2.76E-03
50,1.75E-04,-2.34E+05,-2.34E-01,2.86E+17,2.86E-03
50,1.78E-04,-2.22E+05,-2.22E-01,2.97E+17,2.97E-03
50,1.81E-04,-2.10E+05,-2.10E-01,3.08E+17,3.08E-03
50,1.83E-04,-1.98E+05,-1.98E-01,3.19E+17,3.19E-03
50,1.86E-04,-1.87E+05,-1.87E-01,3.33E+17,3.33E-03
50,1.89E-04,-1.76E+05,-1.76E-01,3.48E+17,3.48E-03
50,1.92E-04,-1.65E+05,-1.65E-01,3.63E+17,3.63E-03
50,1.94E-04,-1.54E+05,-1.54E-01,3.77E+17,3.77E-03
50,1.97E-04,-1.43E+05,-1.43E-01,3.93E+17,3.93E-03
50,2.00E-04,-1.33E+05,-1.33E-01,4.14E+17,4.14E-03
50,2.03E-04,-1.23E+05,-1.23E-01,4.36E+17,4.36E-03
50,2.06E-04,-1.12E+05,-1.12E-01,4.58E+17,4.58E-03
50,2.08E-04,-1.02E+05,-1.02E-01,4.80E+17,4.80E-03
50,2.11E-04,-9.25E+04,-9.25E-02,5.02E+17,5.02E-03
50,2.14E-04,-8.43E+04,-8.43E-02,5.37E+17,5.37E-03
50,2.17E-04,-7.61E+04,-7.61E-02,5.72E+17,5.72E-03
50,2.19E-04,-6.80E+04,-6.80E-02,6.08E+17,6.08E-03
50,2.22E-04,-5.98E+04,-5.98E-02,6.43E+17,6.43E-03
50,2.25E-04,-5.16E+04,-5.16E-02,6.78E+17,6.78E-03
50,2.28E-04,-4.63E+04,-4.63E-02,7.31E+17,7.31E-03
50,2.31E-04,-4.09E+04,-4.09E-02,7.84E+17,7.84E-03
50,2.33E-04,-3.55E+04,-3.55E-02,8.36E+17,8.36E-03
50,2.36E-04,-3.01E+04,-3.01E-02,8.89E+17,8.89E-03
50,2.39E-04,-2.48E+04,-2.48E-02,9.42E+17,9.42E-03
